Country,Year,Population,Taux d'épargne,Taux de croissance démographique,GDP (constant 2015 US$),Gross Fixed Capital Formation (constant 2015 US$),"Population ages 15-64, total",Gross Fixed Capital Formation (% GDP)
Australia,1990,17065128,24.4478955413166,1.48004693689661,629466776079.67,128583732191.703,11417235,27.6602842084195
Australia,1991,17284036,20.8362688354868,1.2746217855676,627060575115.855,116394446217.306,11552182,24.5680563982549
Australia,1992,17478635,18.3422311846331,1.11959770147047,629746209994.416,111741738851.074,11667053,22.8385465885466
Australia,1993,17634808,20.3314818583821,0.889539825558206,655230327244.458,119155895205.968,11757630,23.4856346614021
Australia,1994,17805468,21.8776580267481,0.963092494678111,681311039099.666,126058525064.76,11862796,23.9648362575731
Australia,1995,18004882,20.6366487213644,1.11373422085118,707786283507.272,139957090391.593,11994523,25.0952916833049
Australia,1996,18224767,20.9000876033196,1.21385498322201,735134359250.411,143787252564.222,12145877,24.1486741188992
Australia,1997,18423037,21.8141658325262,1.0820399195962,763901984857.931,153332217867.952,12287429,24.0383354441181
Australia,1998,18607584,21.6282007054382,0.996734717801419,799524373774.542,168260453606.086,12421783,25.1588486864436
Australia,1999,18812264,20.6305973488384,1.09397580294231,839721933537.843,175731519765.204,12571957,25.3749153676301
Australia,2000,19028802,21.1959079594637,1.14447285147721,872651653770.258,189954338627.73,12731716,25.937640529129
Australia,2001,19274701,20.7475781984984,1.28396809127349,890323770708.066,174864637863.659,12911186,23.2027899270853
Australia,2002,19495210,21.7799799533557,1.1375387361946,925754967998.798,190821220529.275,13077545,24.2951909323336
Australia,2003,19720737,21.0829405515026,1.15019273319182,954367849882.364,214802747332.324,13249215,26.0502946054578
Australia,2004,19932722,21.5210839476431,1.06919812205752,994683066030.821,233566439178.364,13409185,26.6305901359698
Australia,2005,20176844,20.9800119972366,1.21729073052406,1026057036344.3,247801831137.172,13589360,27.0109850212115
Australia,2006,20450966,21.6570804788513,1.34945083098893,1054328458936.16,268303257237.759,13787508,27.7891324899833
Australia,2007,20827622,21.3606234641538,1.82499679529254,1094111663603.91,280429015988.837,14051988,27.3982275856433
